Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"Era7capone - SONBAHAR (w/ Poizi, SNOW)",21,1,(x19),1032336,-30551.0,7380103,-88164,18822529,Era7capone,"SONBAHAR (w/ Poizi, SNOW)"
2,=,manifest - Yaşanacaksa,8,2,(x7),459927,-9039.0,3452662,362627,3549962,manifest,Yaşanacaksa
3,=,Semicenk - Sen Kaldın,315,1,(x11),428453,-19385.0,3160010,-24242,81577384,Semicenk,Sen Kaldın
4,+1,manifest - Snap,21,2,(x1),369899,-8533.0,2927059,-70982,9156370,manifest,Snap
5,+3,BLOK3 - SEVMEYİ DENEMEDİN,280,1,(x35),369482,28096.0,2373739,41063,125323893,BLOK3,SEVMEYİ DENEMEDİN
6,=,Zeynep Bastık - Kör Sevdam,28,5,,367568,-326.0,2589390,-39597,9492991,Zeynep Bastık,Kör Sevdam
7,-3,Yıldız Tilbe - Aşk Yok Olmaktır,43,1,(x7),366086,-52027.0,2829446,-81520,19221618,Yıldız Tilbe,Aşk Yok Olmaktır
8,+1,Lvbel C5 - MERMER (w/ AKDO),20,8,,331180,-4114.0,2182219,55881,4115118,Lvbel C5,MERMER (w/ AKDO)
9,+4,Semicenk - Kalpsiz,7,9,,317411,24499.0,1863429,317411,1863429,Semicenk,Kalpsiz
10,=,"SNOW - ÜZÜLECEKSİN 2.0 (w/ Murat Boz, Era7capone)",58,1,(x3),317216,-10456.0,2102855,-2792,21141687,SNOW,"ÜZÜLECEKSİN 2.0 (w/ Murat Boz, Era7capone)"
11,=,BLOK3 - Keşke (w/ Ati242),85,1,(x30),316566,-10095.0,2312188,-31725,54149233,BLOK3,Keşke (w/ Ati242)
12,-5,Poizi - Y,55,7,,313932,-32795.0,2305054,-35653,11296236,Poizi,Y
13,+1,BLOK3 - Mosmor Perde,21,2,(x1),285414,-1201.0,2135244,-145302,8360565,BLOK3,Mosmor Perde
14,-2,"Poizi - ÇIKAR BİRİ KARŞIMA (w/ Era7capone, SNOW)",120,1,(x1),277512,-18135.0,2000576,-1243,41162336,Poizi,"ÇIKAR BİRİ KARŞIMA (w/ Era7capone, SNOW)"
15,=,manifest - KTS,35,4,,275566,-6602.0,2134162,-12283,10768591,manifest,KTS
16,+2,Motive - BELLYDANCE,28,3,(x1),256321,-8072.0,1903392,-81455,10401435,Motive,BELLYDANCE
17,+2,"Simge - YANKI X İNTİHAR (w/ Era7capone, Ozan Bayraşa, SNOW)",217,3,(x1),255470,841.0,1925394,-11269,63074895,Simge,"YANKI X İNTİHAR (w/ Era7capone, Ozan Bayraşa, SNOW)"
18,+2,Dj Guuga - Vidrado Em Você (w/ Mc Livinho),104,1,(x2),248751,-3573.0,1893516,-32294,33431249,Dj Guuga,Vidrado Em Você (w/ Mc Livinho)
19,-2,Simge - Önümüz Yaz,364,2,(x24),247933,-17071.0,1912742,-27398,96575301,Simge,Önümüz Yaz
20,-4,Dedublüman - Sana Güvenmiyorum - Dedub Sessions (w/ Aleyna Tilki),231,1,(x79),241418,-33877.0,1868613,-10004,99441491,Dedublüman,Sana Güvenmiyorum - Dedub Sessions (w/ Aleyna Tilki)
21,+3,"manifest - Manifest (w/ Arem Ozguc, Arman Aydin)",7,15,,238698,-3664.0,1755798,238698,1755798,manifest,"Manifest (w/ Arem Ozguc, Arman Aydin)"
22,+1,Oğuzhan Koç - Geçsin Yıllar (w/ Merve Özbey),32,1,(x5),236645,-7590.0,1885957,-90820,12156847,Oğuzhan Koç,Geçsin Yıllar (w/ Merve Özbey)
