Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,benjitalkapone - Mambinho Brasileño,28,1,(x9),287153,6168.0,2090686,-15579,5663742,benjitalkapone,Mambinho Brasileño
2,=,Young Cister - QLOO* (w/ Kreamly),28,1,(x18),259624,333.0,1808934,-8092,9382412,Young Cister,QLOO* (w/ Kreamly)
3,+1,"Julianno Sosa - y ke pa - Remix (w/ benjitalkapone, Jairo Vera)",43,3,(x5),227583,10217.0,1481767,22519,8278753,Julianno Sosa,"y ke pa - Remix (w/ benjitalkapone, Jairo Vera)"
4,-1,Jimin - Who,336,1,(x21),226563,-5570.0,1789866,-12816,65023170,Jimin,Who
5,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",118,1,(x4),214050,53.0,1442992,23787,21902174,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
6,+1,"Nickoog Clk - Somos Diferentes (Remix) (w/ Jere Klein, Katteyes, Juanka)",14,6,,199351,20704.0,1102246,97162,1841579,Nickoog Clk,"Somos Diferentes (Remix) (w/ Jere Klein, Katteyes, Juanka)"
7,-1,Beéle - no tiene sentido,33,6,,194253,2880.0,1262358,23285,4476504,Beéle,no tiene sentido
8,=,"Lucky Brown - Bella (w/ Jere Klein, Nes)",42,1,(x4),183701,5551.0,1265306,-6523,9361911,Lucky Brown,"Bella (w/ Jere Klein, Nes)"
9,=,"Jere Klein - 2x1 (w/ Lucky Brown, Valdi, Mateo on the Beatz)",79,3,(x6),151715,8088.0,1041227,12822,12167214,Jere Klein,"2x1 (w/ Lucky Brown, Valdi, Mateo on the Beatz)"
10,=,"Kidd Voodoo - WHISKY A LA ROCA (w/ Jere Klein, Swift 047)",156,2,(x28),140307,-2114.0,937717,21352,31680700,Kidd Voodoo,"WHISKY A LA ROCA (w/ Jere Klein, Swift 047)"
11,=,Beéle - Mi Refe (w/ Ovy On The Drums),185,9,,139752,1693.0,894089,25375,24641264,Beéle,Mi Refe (w/ Ovy On The Drums)
12,+2,Tobal Mj - Tiene (w/ Lucky Brown),113,1,(x2),137271,9849.0,899729,14234,22675027,Tobal Mj,Tiene (w/ Lucky Brown)
13,=,Katteyes - PONTE LOKITA (w/ Kidd Voodoo),126,1,(x52),134809,4095.0,874662,19088,33582437,Katteyes,PONTE LOKITA (w/ Kidd Voodoo)
14,-2,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",166,2,(x5),133837,2904.0,851103,27039,33303707,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
15,+1,"Lucky Brown - Amor Escondido (w/ Jere Klein, Fran C)",42,9,,128572,12513.0,825777,12624,4647656,Lucky Brown,"Amor Escondido (w/ Jere Klein, Fran C)"
16,+1,Bad Bunny - VOY A LLeVARTE PA PR,166,1,(x14),121624,7172.0,779424,19107,33509827,Bad Bunny,VOY A LLeVARTE PA PR
17,-2,Bad Bunny - BAILE INoLVIDABLE,166,1,(x9),120041,2929.0,787497,15035,35103060,Bad Bunny,BAILE INoLVIDABLE
18,+3,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",7,18,,119334,14656.0,510935,119334,510935,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
19,-1,Alleh - capaz (merengueton) (w/ Yorghaki),187,5,,107155,-3569.0,700123,20021,26361983,Alleh,capaz (merengueton) (w/ Yorghaki)
20,-1,"Ovy On The Drums - NUBES (w/ Lucky Brown, Darell)",98,16,,106066,-4424.0,715427,22006,7539983,Ovy On The Drums,"NUBES (w/ Lucky Brown, Darell)"
21,+5,Yan Block - Yo sé (w/ TORRRES),226,19,,105661,12224.0,660265,6906,15171275,Yan Block,Yo sé (w/ TORRRES)
22,+1,Bad Bunny - EoO,166,5,,104464,3407.0,676292,14524,25028264,Bad Bunny,EoO
23,+1,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),217,3,(x1),99985,-6.0,647915,17933,30476763,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
24,-2,Lucky Brown - Cosa Linda (w/ Mateo on the Beatz),239,1,(x14),98824,-2498.0,685157,9341,38874315,Lucky Brown,Cosa Linda (w/ Mateo on the Beatz)
25,-5,Bad Bunny - KLOuFRENS,166,8,,98043,-10458.0,668020,7859,21668748,Bad Bunny,KLOuFRENS
26,+1,Jairo Vera - Ay Mamasita,203,7,,96805,6280.0,650941,14412,21055610,Jairo Vera,Ay Mamasita
